model_size,condition_id,source_loss,R_model,R_covered_linear,R_covered_linear_plus_attention,attention_coverage_comparable_to_canonical_R_model,b1_adapter_dense_speedup,b1_sparse_speedup,b32_adapter_dense_speedup,b32_sparse_speedup,linear_primitive_count,linear_break_even_count,linear_pack_kernel_speedup_median,linear_pack_kernel_speedup_max,linear_kernel_only_speedup_max,attention_layer_count,attention_break_even_count,attention_speedup_median,attention_speedup_max
70M,a0-gelu,4.099767337889361,4.5409213981255505e-06,4.527582785177153e-06,,,0.9969237602357773,0.18320773261682824,1.0084414461431603,0.27687838718029495,6,0,0.01105688065239669,0.01117966658040287,0.011345814872201314,0,0,,
70M,a1h-relu,4.222744515661657,0.1006575817198192,0.10065757635523458,,,0.9964641889264417,0.659523300238248,1.0009980282337776,0.6184037366268412,6,0,0.04902749979462022,0.0668446173232561,0.0733814967961633,0,0,,
70M,a4-ol1-kappa-0,4.805288591328457,0.25672509475572236,0.2566827583056747,,,0.99291795374169,0.5828651328395776,0.9974792938234077,0.2772488461876633,24,0,0.05279312652234777,0.3475136024774691,0.4186657147094183,0,0,,
70M,a4-ol1-kappa-0p5,5.389543036737385,0.3559621916980309,0.35585044480468475,,,0.994757723433457,0.9834960454336054,1.0144822530498006,0.7066440553402534,24,0,0.38201848848928854,0.6026357952117237,0.8358958492959353,0,0,,
70M,a7-ol1-kappa-0,4.941204175441222,0.23562417494680196,0.23562416600764313,0.2356241718858274,True,0.9966450822985415,0.4674572386795931,1.0136832875148465,0.2523472047511879,24,0,0.052535263148177726,0.12614866878538655,0.13480026578148796,6,0,0.19986590128810078,0.2001038762992255
70M,a7-ol1-kappa-0p5,5.215976195927908,0.4060187215635989,0.3017804634713001,0.3997405826773684,True,0.9962449110116984,0.7967820251470462,1.0053096437084168,0.4051819793352992,24,0,0.1422422753085619,0.5156587010761067,0.7041729692117863,6,0,0.3336508042315287,0.36117425813558135
410M,a0-gelu,4.5474416800504605,0.000110479238031039,0.00011043142439167056,,,0.9502213053746051,0.048527661874812174,0.9745662141278677,0.15461934478017925,24,0,0.005067962292957345,0.005305270754773951,0.005594756872929962,0,0,,
410M,a1h-relu,4.651271346052723,0.210497252804411,0.21047513637939066,,,1.007593627399598,0.32750238311360985,0.9963427053775603,0.4776290824028511,24,0,0.04021087325985088,0.05354968552633918,0.05732712473127347,0,0,,
410M,a4-ol1-kappa-0,5.692058805883283,0.383386733338568,0.3833867261992576,,,1.004157436163987,0.0744843695237148,0.986124956372305,0.1107765909243972,96,0,0.020277118365661664,0.04430541432653704,0.04548018954024205,0,0,,
410M,a4-ol1-kappa-0p5,5.1911038336669195,0.715914446480748,0.7158302825811338,,,1.0060674368106388,0.2622976195261976,1.000927830116777,0.49891103681412197,96,0,0.07815506327772458,0.4785539290794727,0.7055267681975554,0,0,,
410M,a7-ol1-kappa-0,5.426288082754824,0.411214678786846,0.4112136406614464,0.4112136467587682,True,0.998976240713981,0.08487438216171253,0.9884379545682396,0.11838858800060076,96,0,0.023905042394159665,0.04951571581209353,0.05115922665473689,24,0,0.19778343001748094,0.2003342483764114
410M,a7-ol1-kappa-0p5,5.120631906407825,0.806155139186339,0.6955162349121755,,False,1.0012262673525254,0.2805116958085585,0.9994626061127867,0.43174173786283737,96,0,0.08300827700634716,0.48099236712067395,0.7098517962222812,24,0,0.5636997680985467,0.6036371410826591
