model_size,condition_id,operation,site,layers,M,K,N,exact_zero_mass_median,dense_median_ms_across_layers,kernel_median_ms_across_layers,pack_kernel_median_ms_across_layers,kernel_only_speedup_median,pack_kernel_speedup_median
70M,a0-gelu,mlp_w2,h,6,2048,2048,512,2.0265579223632812e-06,0.012189501151980087,1.0874851941570558,1.101632499839749,0.011202242956301761,0.01105688065239669
70M,a1h-relu,mlp_w2,h,6,2048,2048,512,0.8644832372665405,0.011026781293975742,0.2164045329056103,0.23125595187550302,0.052637426268053525,0.04902749979462022
70M,a4-ol1-kappa-0,attention_output_projection,z,6,2048,512,512,0.9404268264770508,0.01020479227192617,0.029682147462461107,0.03469625468604344,0.34405671282054034,0.29350088163497723
70M,a4-ol1-kappa-0,mlp_w1,m,6,2048,512,2048,0.4983396530151367,0.016233102445445596,0.308277649168441,0.3145941252488391,0.05305158874301136,0.05191779907775012
70M,a4-ol1-kappa-0,mlp_w2,h,6,2048,2048,512,0.9487634897232056,0.010968909247623001,0.06740201261418079,0.0806421538024372,0.16498318513698768,0.13778379780703864
70M,a4-ol1-kappa-0,qkv_projection,a,6,2048,512,1536,0.5652589797973633,0.01008476135861575,0.23623065299188215,0.241010326087441,0.0433110214554666,0.04231393916708576
70M,a4-ol1-kappa-0p5,attention_output_projection,z,6,2048,512,512,0.999992847442627,0.010082973912358285,0.012844942510128021,0.017586222663521764,0.7831665275330948,0.5712860864818812
70M,a4-ol1-kappa-0p5,mlp_w1,m,6,2048,512,2048,0.9686756134033203,0.01205552718369557,0.038717622484295736,0.0437096385201697,0.31468607709686336,0.27592138010957723
70M,a4-ol1-kappa-0p5,mlp_w2,h,6,2048,2048,512,0.9999415874481201,0.01096376099218344,0.013974389924151669,0.025082035704609436,0.7844706025211654,0.4382743013932937
70M,a4-ol1-kappa-0p5,qkv_projection,a,6,2048,512,1536,0.9705805778503418,0.010006453131628259,0.08512538543996964,0.0903246403291707,0.11684256427035193,0.11011863632167189
70M,a7-ol1-kappa-0,attention_output_projection,z,6,2048,512,512,0.6871037483215332,0.010131045004276244,0.08510473710549735,0.09049619284067792,0.11921602697101405,0.11215685410823505
70M,a7-ol1-kappa-0,mlp_w1,m,6,2048,512,2048,0.5011577606201172,0.016099788583484,0.30323140455975606,0.30683833018603945,0.05282368091318324,0.052143086255807394
70M,a7-ol1-kappa-0,mlp_w2,h,6,2048,2048,512,0.8935971260070801,0.01094862294026313,0.12523815658770088,0.13764959880161456,0.08774722280462743,0.07989435536451764
70M,a7-ol1-kappa-0,qkv_projection,a,6,2048,512,1536,0.49619483947753906,0.010131591535872255,0.2868547316718968,0.2925005117470234,0.03525197614976953,0.034560683037748396
70M,a7-ol1-kappa-0p5,attention_output_projection,z,6,2048,512,512,0.9977917671203613,0.010075519723668457,0.016420383378863333,0.02113744243979454,0.6130490923270935,0.47621846786560856
70M,a7-ol1-kappa-0p5,mlp_w1,m,6,2048,512,2048,0.6927394866943359,0.015548533410824211,0.19320807203210844,0.19945542404662386,0.08036754704312607,0.07759433034599042
70M,a7-ol1-kappa-0p5,mlp_w2,h,6,2048,2048,512,0.9992589950561523,0.010980234879011116,0.017554860770093633,0.028562854204100707,0.6289412829225337,0.3865078859774257
70M,a7-ol1-kappa-0p5,qkv_projection,a,6,2048,512,1536,0.6788244247436523,0.010135117298558262,0.18382053334680232,0.18937097879988854,0.05512301040374287,0.05352973996606709
410M,a0-gelu,mlp_w2,h,24,2048,4096,1024,1.823902130126953e-05,0.03660743783677922,6.844277059672033,7.215372077664551,0.005350716853450236,0.005067962292957345
410M,a1h-relu,mlp_w2,h,24,2048,4096,1024,0.8770484328269958,0.029678601195572068,0.7065187134012997,0.7365165520913987,0.0419784022506683,0.04021087325985088
410M,a4-ol1-kappa-0,attention_output_projection,z,24,2048,1024,1024,0.5545148849487305,0.010323510987253537,0.4329420500129847,0.44197069721664484,0.023847957166772217,0.02335485207439336
410M,a4-ol1-kappa-0,mlp_w1,m,24,2048,1024,4096,0.3791506290435791,0.03636735656582717,2.600590654180872,2.6213695865282753,0.0139226248231035,0.013824492999659266
410M,a4-ol1-kappa-0,mlp_w2,h,24,2048,4096,1024,0.649364709854126,0.03232156465340673,1.5201436074277797,1.5219474056114755,0.021415827719048198,0.02098575342684024
