model_size,condition_id,batch_size,R_model,block_zero_product_count,model_product_count,speedup_median,speedup_p10,speedup_p90,timing_blocks,speedup_block_1,speedup_block_2,speedup_block_3,speedup_block_4,speedup_block_5,speedup_block_6,speedup_block_7,source,source_sha256
70M,a0-gelu,1,4.5409213981255505e-06,160072890,35251191545856,0.18320773261682824,0.18296864249118722,0.18422923501492053,7,0.18488290994874235,0.18330093141446666,0.183133953578809,0.1830761874793324,0.18320773261682824,0.183793451725706,0.18280732500896946,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a0-gelu.json,6130293bde474bcaa50b3d409a23bd2da67a42d6eff76d012fe59edc75ba676c
70M,a0-gelu,32,4.5409213981255505e-06,160072890,35251191545856,0.27687838718029495,0.2716827255307067,0.28122846709267035,7,0.2739713970903851,0.27784516174677676,0.2809450516681897,0.2733732578735342,0.27687838718029495,0.28165359022939135,0.26914692701646536,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a0-gelu.json,6130293bde474bcaa50b3d409a23bd2da67a42d6eff76d012fe59edc75ba676c
70M,a1h-relu,1,0.1006575817198192,3548299693748,35251191545856,0.659523300238248,0.6590636761399111,0.6625115207759842,7,0.6668014233420576,0.659523300238248,0.6593207076623658,0.6587182878383446,0.6596515857319353,0.6592939350076221,0.6595346848463952,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a1h-relu.json,649b6721e5e2bcb30715f9ef59aba3c27c751227d1355d56199b77080375ace8
70M,a1h-relu,32,0.1006575817198192,3548299693748,35251191545856,0.6184037366268412,0.6099604453235524,0.6233524348635947,7,0.624083685950261,0.598016661166301,0.6183849015280505,0.6184037366268412,0.6228649341391506,0.621505531578617,0.6179229680950533,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a1h-relu.json,649b6721e5e2bcb30715f9ef59aba3c27c751227d1355d56199b77080375ace8
70M,a4-ol1-kappa-0,1,0.25672509475572236,9049865489862,35251191545856,0.5828651328395776,0.5431993276342065,0.6007399164239259,7,0.5432435952631801,0.5432741482979342,0.5431329261907463,0.5828651328395776,0.5898609010723409,0.6115818444224019,0.5935119644249418,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0.json,7200df27a2e8139ec6add663989811662a72d12b4901d1199b84acf24efeadb5
70M,a4-ol1-kappa-0,32,0.25672509475572236,9049865489862,35251191545856,0.2772488461876633,0.2701493532053722,0.2790750845584948,7,0.2614623278532655,0.27594070344011,0.2786863748345506,0.27691384448265977,0.2772488461876633,0.279658149144411,0.27743833506970167,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0.json,7200df27a2e8139ec6add663989811662a72d12b4901d1199b84acf24efeadb5
70M,a4-ol1-kappa-0p5,1,0.3559621916980309,12548091402630,35251191545856,0.9834960454336054,0.9825878016205073,0.9854471567367564,7,0.9827548562499107,0.9853619271156008,0.9823372196764023,0.9855750011684901,0.9834960454336054,0.9828708471008271,0.9844964294326916,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0p5.json,9f5c35dc6a48e1324e55ebe7ae3731a234ce5ceb9145a5751823be382aaa9461
70M,a4-ol1-kappa-0p5,32,0.3559621916980309,12548091402630,35251191545856,0.7066440553402534,0.702701220940857,0.7167752123057327,7,0.7088861564712321,0.7000189864502606,0.7159713986136956,0.7044893772679212,0.7064243849747415,0.7179809328437883,0.7066440553402534,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a4-ol1-kappa-0p5.json,9f5c35dc6a48e1324e55ebe7ae3731a234ce5ceb9145a5751823be382aaa9461
70M,a7-ol1-kappa-0,1,0.23562417494680196,8306032923884,35251191545856,0.4674572386795931,0.4659215399650301,0.46768531250908085,7,0.46783269258642696,0.46758705912418347,0.4674572386795931,0.4661001587201871,0.46565361183229453,0.4674780038244007,0.46676036066711946,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0.json,2f4b2e52f69bf141e035c5c6edadf220d71f2fcac4f8db91a40c1b4e85d5267d
70M,a7-ol1-kappa-0,32,0.23562417494680196,8306032923884,35251191545856,0.2523472047511879,0.24654028883144868,0.2547891003886212,7,0.25470869885865566,0.2523472047511879,0.2549097026835695,0.24912205951812702,0.24450064192628274,0.25240414569745706,0.24790005343489263,runs/023-2026-09-04-pythia70m-sakana-sparse-kernel-sentinels/results/raw/a7-ol1-kappa-0.json,2f4b2e52f69bf141e035c5c6edadf220d71f2fcac4f8db91a40c1b4e85d5267d
