model_size,condition_id,family,kappa,partition,implementation,quality_scope,correctness_pass,failed_validation_blocks,max_abs_logit_error,max_relative_l2,canonical_validation_loss,run025_native_validation_loss,run025_candidate_validation_loss,run025_validation_loss_delta,R_model_fraction,R_model_percent,block_zero_product_count,model_product_count,candidate_median_host_ms,native_median_host_ms,paired_geomean_speedup,speedup_input_cluster_ci95_low,speedup_input_cluster_ci95_high,paired_timing_samples,timing_input_clusters,timing_passes,timing_data,attention_qk_pv_execution,selected_linear_sites,source,manifest_sha256,timing_sha256,timing_samples_sha256,quality_sha256
14M,14m/a0,A0,,development,k013,complete-validation,True,0,0.0,0.0,5.2085730123096665,5.209966218440203,5.209961768491192,-4.449949011053889e-06,1.1415112639303073e-08,1.1415112639303072e-06,72635,6363055915008,4.11970866844058,3.903217613697052,0.9790565977256588,0.9604894398989889,1.002340987728404,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a0-development-rtxpro4500-002,b3035fc970a9cb58c47b0041df2a720dad9700b79ffb55154d2c0b997ff5fdb0,e5d0509b55d9200dbacdedda01065ffa480a2f7a0e49565077be7b8a71a68edb,c591ae59d199ddbd575192a7d188f0c95143a41f939f812381ed9e037dc4d9d8,866721894117108023fe66d223e47431123568cbe11c4af6ffb7f2519b12ad89
14M,14m/a1h,A1-H,,development,k013,complete-validation,True,0,0.0,0.0,5.26963426093378,5.271187088342137,5.271209181063382,2.2092721245314806e-05,0.027141299328466276,2.7141299328466277,172701605233,6363055915008,5.703100934624672,5.66537119448185,0.9919986943263703,0.9876682479489085,0.9960094287817964,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,h,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a1h-development-rtxpro4500-002,1741a007333b0473154fb031b34a8d719a6a4b65ab230663bf13dc24e256c972,1ad22c6e5319ad079905c7f6b1c4c3c6b94c36022e4e69ea568e7e2faeba9d14,9d57c94be7db5c9bd8264e9be9edf48fbff03164e55e96974e9d19de59045a2b,4424d4e1432394bb0e85e5929744b1f27926a6ddb2b81120682aecbbbd93d2e8
14M,14m/a4-0,A4-OL1,0.0,development,k013,complete-validation,True,0,0.0,0.0,5.458276166718387,5.4598567823695845,5.459856267190332,-5.151792521473908e-07,0.0781004229286857,7.81004229286857,496957358081,6363055915008,4.975844640284777,5.246455315500498,1.0583089773154921,1.0499660302916458,1.0700831849648498,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0-development-rtxpro4500-002,0c161203d0030c118830060558ee636a099918b339c753902160ba12982f76b9,1dc808eb1d3a20903eae377e64f358fe5af63414ea9036577631875d59b2a0c0,e23403460b9db76f9b015b7baeb26dff6906fbfba6f4d33cd4a5c1733d03ad9c,fcc28cf62570af3d829d5ba4fcb7db7f4cee6630becb7ebde1e8581bcc25b410
14M,14m/a4-0p01,A4-OL1,0.01,untuned,k013,complete-validation,True,0,0.0,0.0,5.458309076241488,5.460173012803726,5.46017183988877,-1.1729149562711427e-06,0.08586708994090508,8.586708994090507,546377094553,6363055915008,3.277102019637823,3.4511922858655453,1.0537517118244109,1.0239588115372995,1.083796652222188,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0p01-heldout-rtxpro4500-002,10b8127a9ec2cee1bc3c505c72472fd267028b6ad9794acbaa39228ce2de5dd4,e82d89bc12fea351ac9f185e01ae4b2b7187977dacd38c602a191175974abf5a,b0931c16bbd51455ab4ab32d1332fdad03905673971900c165033918afd93134,118069af4316ec3abeb9e5709c9f1a5f6faa84b3e69b563a2006954a86047565
14M,14m/a4-0p05,A4-OL1,0.05,untuned,k013,complete-validation,True,0,0.0,0.0,5.489760381230236,5.4921313496957955,5.492131123863794,-2.2583200109949075e-07,0.1045644512413755,10.45644512413755,665349449971,6363055915008,3.2216361723840237,3.3778520300984383,1.0301450619889883,1.0182373726388971,1.041361544885629,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0p05-heldout-rtxpro4500-002,6641c68cbb150ad331708fb5914c8b5332e096bd296f2afbc495254e451b82dc,8ee5d0e6d35972e5de1d3bb422ca597fc6ca4b5212bcd85d64eda4bcf589fb46,9be191e1c0fb49c2f20cd99eb042308615c037ae8fbe22b0c44cf36b719dad19,63fb537fe9519c863cc824c1c574ce048b975a2103e8a6cf824a2cd3b28a601a
14M,14m/a4-0p1,A4-OL1,0.1,untuned,k013,complete-validation,True,0,0.0,0.0,5.548253721739414,5.5503922727267385,5.550391571236085,-7.01490653121084e-07,0.11394280537892908,11.394280537892907,725024441739,6363055915008,3.293781541287899,3.461197018623352,1.0356359686677408,0.9914798086427536,1.073125972230055,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0p1-heldout-rtxpro4500-002,1129d209e07d4c998f02637c98d280494dd4f4677a0fcff9ed7e3454bdc2eac9,55c3514200f50bf953ae6ee4d4cf0628dac59624b3a3e147f58bbe88fdeb5be3,b7b9bdfaeeeaf75a1a5de0227f936c430ade5faddc993688928dd57298f84312,718f2e770c9dbc7c2ecbff5aa682ef31add0900aae5db9d59055f7485d7bd65c
14M,14m/a4-0p5,A4-OL1,0.5,development,k013,complete-validation,True,0,0.0,0.0,6.037982463131289,6.040296513804297,6.040296513804297,0.0,0.12713448684742273,12.713448684742273,808963848536,6363055915008,4.937620367854834,5.196705926209688,1.0486294840540957,1.0375156418577767,1.0568426098664463,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0p5-development-rtxpro4500-002,1a32a4f7cc7a5fbcb65e6087159535469155f4795b7cb07f5b02819bf6fe46a8,b8753fc9509c73d478dc535c22903fcf041ba3d21ce616bc6473f291bfc8f733,6be5c1b051c6e09be94679f97eb14c6816c9e31a8cc05743a74f4c6478ab42c9,1c34d8049c9144af5dac96cc0a3ef3281856b9710bcf0ae9f74c772b8f15d9e7
14M,14m/a7-0,A7-OL1,0.0,development,k013,complete-validation,True,0,0.0,0.0,5.480180751642532,5.482406401979291,5.482370421295696,-3.598068359522699e-05,0.0705422917861371,7.054229178613711,448864547008,6363055915008,3.2145767472684383,3.388481680303812,1.0518625704116624,1.0290477587955804,1.0740612199488992,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0-development-rtxpro4500-002,2f07e2728c559f68e8dd42749d4f9b35e32c3ae7a2d5af48b53c9a3105f46dad,6687ceaebd7118bc1b050baa09a8ea8100e276cd4abfca42b81567ed6517be76,f95eb2fac9cc2dd11cffbdddfaf8c6a0a159c1e28ba65ffa9ffcb9cea6c27455,fd6ab91aeb26bdb4d653193e2f7c2fd7ac68ced1698cc922f5b466c8cb8be992
14M,14m/a7-0p01,A7-OL1,0.01,untuned,k013,complete-validation,True,0,0.0,0.0,5.475800738532162,5.477752072183631,5.477783827691629,3.175550799738858e-05,0.07723392871636932,7.723392871636932,491443806958,6363055915008,3.804932814091444,3.986797761172056,1.039089001259597,1.0181628109225385,1.058244628799369,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0p01-heldout-rtxpro4500-002,a13dbc03b84e9eb4b5c71f0f5bd877b3ef22bc7236bb86a9e7a44bffa608bd25,08bfa1c314c0d2ef083041ce884f535ae0ad5dc81504195d2374e990704450aa,ebe88ff0b78793cc81624ffb87438223b5e8aa42d5b97b7b2980b444eee4631f,86b630b5d31a511c8796d4d1b245bf611df326029cade3a24e58f730c4a36068
14M,14m/a7-0p05,A7-OL1,0.05,untuned,k013,complete-validation,True,0,0.0,0.0,5.462799572380336,5.465164439204716,5.465121822588909,-4.2616615806956304e-05,0.09863031588136074,9.863031588136074,627590214868,6363055915008,3.794892691075802,3.9866925217211246,1.0666836961155395,1.0504585653836225,1.086809107436497,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0p05-heldout-rtxpro4500-002,95bda1f3bca7b02d8e281a283acd2290fad66bbb59c16c1c17aa5a62e8baa292,9de408d7dc66a8f2d6dc88bc3d42cce76b935b100f902b3ec2c4883c9435508d,135de29cbed478d5cc00fdf5d2313f33c2e1e16ec3df76dc1e27a1e856c8533b,decb192c008061863d3887dacaeed1cd44cf502229f25f0812e31b2500597fe4
