model_size,stratum,n_checkpoints,n_correctness_failures_excluded,intercept,slope_per_R_model_fraction,slope_per_10_percentage_points,pearson_r,R_squared,spearman_rho,R_model_min,R_model_max,loo_slope_min,loo_slope_max,loo_R_squared_min,loo_R_squared_max,method
14M,all-final-including-failures,12,0,1.018589700931793,0.19482089589575205,0.019482089589575206,0.49182736306469627,0.24189415505917333,0.2797202797202798,1.1415112639303073e-08,0.27482684296304843,0.08558663637343135,0.5600531591638409,0.07147214125704393,0.6151594906704736,descriptive unweighted OLS with intercept; one checkpoint per row
14M,qualified-final,11,1,1.018023751007351,0.18953925616990647,0.01895392561699065,0.4849021608902237,0.2351301056360091,0.27272727272727276,1.1415112639303073e-08,0.27482684296304843,0.08261092327029063,0.5715293245799654,0.0683991972793605,0.6025927387225867,descriptive unweighted OLS with intercept; one checkpoint per row
14M,development-qualified,6,0,1.0098805846836343,0.1976680596856868,0.019766805968568682,0.5657371415901336,0.320058513374577,0.48571428571428577,1.1415112639303073e-08,0.27482684296304843,0.10074512532508169,0.6557291237888238,0.1303418553494562,0.7409738660622334,descriptive unweighted OLS with intercept; one checkpoint per row
14M,transfer-qualified,5,0,1.0692651519366188,-0.25200040574573956,-0.025200040574573958,-0.2472834633601952,0.061149111251410315,-0.49999999999999994,0.07723392871636932,0.11394280537892908,-0.859688908688089,-0.0112663624881491,7.442230211840428e-05,0.36241696731527084,descriptive unweighted OLS with intercept; one checkpoint per row
14M,A4-qualified,5,0,1.0780290486912274,-0.3211755625903891,-0.032117556259038914,-0.5379126395912817,0.2893500078320599,-0.6,0.0781004229286857,0.12713448684742273,-0.7617785510967285,-0.1443101738702336,0.05179612687859647,0.846061006509927,descriptive unweighted OLS with intercept; one checkpoint per row
14M,A7-qualified,4,0,1.0548387487874311,-0.034707561800156266,-0.0034707561800156267,-0.2779085054941865,0.07723313742601479,0.0,0.0705422917861371,0.27482684296304843,-0.07242249426834058,0.7133040734364358,0.03726195752968897,0.5742644613698337,descriptive unweighted OLS with intercept; one checkpoint per row
70M,all-final-including-failures,12,0,0.964740509270195,-0.004355253113203142,-0.00043552531132031423,-0.006528716613002208,4.2624140613289896e-05,-0.027972027972027972,4.5409213981255505e-06,0.4060187215635989,-0.09316914534646283,0.18427721914798176,3.091643363539731e-08,0.03641237758112381,descriptive unweighted OLS with intercept; one checkpoint per row
70M,qualified-final,9,3,0.9635840485812875,0.03379065907862053,0.003379065907862053,0.051530214563428614,0.0026553630129529937,0.06666666666666667,4.5409213981255505e-06,0.4060187215635989,-0.06063029601205267,0.22974895312137525,1.1689600215358809e-05,0.12249120359249133,descriptive unweighted OLS with intercept; one checkpoint per row
70M,development-qualified,6,0,0.9585549894663572,0.016541055011617085,0.0016541055011617086,0.02518568633807026,0.0006343187963201435,-0.028571428571428574,4.5409213981255505e-06,0.4060187215635989,-0.12367818227117923,0.24234381856190762,0.00039466849025282524,0.16823852387164095,descriptive unweighted OLS with intercept; one checkpoint per row
70M,transfer-qualified,3,0,0.9992362043223704,-0.0334378670554286,-0.0033437867055428603,-0.9999485941728153,0.9998971909881907,-1.0,0.24226276136279815,0.2869378509087325,,,,,descriptive unweighted OLS with intercept; one checkpoint per row
70M,A7-qualified,5,0,0.9966974222825915,-0.014520056656559022,-0.0014520056656559023,-0.25807441470447545,0.06660240352505553,-0.39999999999999997,0.23562417494680196,0.4060187215635989,-0.1397513956143082,0.009865664549012944,0.08081976369533816,0.5252027433823544,descriptive unweighted OLS with intercept; one checkpoint per row
410M,all-final-including-failures,12,0,0.9150265505637718,0.10103016487546164,0.010103016487546164,0.7814349585884496,0.6106405945041313,0.7552447552447553,0.00011047923803103942,0.806155139186339,0.07576255919414134,0.1538544623162814,0.43235255903543,0.8270367657712547,descriptive unweighted OLS with intercept; one checkpoint per row
410M,qualified-final,12,0,0.9150265505637718,0.10103016487546164,0.010103016487546164,0.7814349585884496,0.6106405945041313,0.7552447552447553,0.00011047923803103942,0.806155139186339,0.07576255919414134,0.1538544623162814,0.43235255903543,0.8270367657712547,descriptive unweighted OLS with intercept; one checkpoint per row
410M,development-qualified,6,0,0.9241807399016063,0.10346788916108934,0.010346788916108934,0.8609022270293497,0.741152644504094,0.6571428571428573,0.00011047923803103942,0.806155139186339,0.08418167107919598,0.1462162514088808,0.6090499825076006,0.8753607481118156,descriptive unweighted OLS with intercept; one checkpoint per row
410M,transfer-qualified,6,0,0.9211423012482123,0.06363666740304874,0.006363666740304874,0.5455018650706459,0.29757228479555686,0.3714285714285715,0.39149185001875003,0.4899755173364832,0.005987461125084051,0.09119045271781928,0.0020631495166043567,0.8137124134493847,descriptive unweighted OLS with intercept; one checkpoint per row
410M,A4-qualified,5,0,0.852120591483796,0.22741559690363283,0.022741559690363285,0.9754336822359392,0.9514708684403633,0.39999999999999997,0.3833867333385676,0.715914446480748,-0.011769543676418408,0.23722072234151062,0.143040716103083,0.9928382478179106,descriptive unweighted OLS with intercept; one checkpoint per row
410M,A7-qualified,5,0,0.8772972777182821,0.16603131200381055,0.016603131200381056,0.9941384175989297,0.9883111933461044,0.9999999999999999,0.4112146787868456,0.806155139186339,0.10741854902759779,0.17006976122594905,0.6717511893026802,0.9949990446543351,descriptive unweighted OLS with intercept; one checkpoint per row
