hardware_attempt,gpu,model_size,stratum,n_checkpoints,n_correctness_failures_excluded,intercept,slope_per_R_model_fraction,slope_per_10_percentage_points,pearson_r,R_squared,spearman_rho,R_model_min,R_model_max,loo_slope_min,loo_slope_max,loo_R_squared_min,loo_R_squared_max,method
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,14M,primary-qualified,11,1,0.9991959699766745,0.34701834951363986,0.03470183495136399,0.588891892729576,0.3467936613226221,0.5727272727272729,1.1415112639303073e-08,0.27482684296304843,0.13221313890687572,0.9594734810407317,0.21010739063557815,0.7600949930155602,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,14M,H100-matched-sentinels,6,0,0.9856532797822894,0.35023951660906644,0.035023951660906646,0.6371501394600154,0.40596030021391627,0.8285714285714287,1.1415112639303073e-08,0.27482684296304843,0.146679610835459,1.0137993124964026,0.279159776748499,0.7504198956660556,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,14M,A4-OL1-qualified,5,0,1.0632746569633453,-0.10872194295599602,-0.010872194295599602,-0.8961750648787904,0.8031297469105075,-0.8999999999999998,0.0781004229286857,0.12713448684742273,-0.14078669374762143,-0.08818000750117037,0.6155385806761231,0.9506273405818499,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,14M,A7-OL1-qualified,4,0,1.0411462061884236,0.03876563576649962,0.003876563576649962,0.7024557241184873,0.49344404434683464,0.39999999999999997,0.0705422917861371,0.27482684296304843,-0.09612768217542696,0.055774618975277884,0.10033568471042986,0.9576944591123843,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,70M,primary-qualified,9,3,0.9599567462260125,0.03560164079475853,0.0035601640794758528,0.05222509193247889,0.0027274602273558157,0.4666666666666666,4.5409213981255505e-06,0.4060187215635989,-0.03976111127380791,0.244716819120549,0.0008813046092241983,0.18603199941022885,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,70M,H100-matched-sentinels,6,0,0.9564463568510105,0.013424526497637526,0.0013424526497637526,0.019701533400102517,0.00038815041831496977,0.4285714285714286,4.5409213981255505e-06,0.4060187215635989,-0.11455686552711285,0.2453921984116766,0.00021297345892812292,0.299591135296043,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,70M,A7-OL1-qualified,5,0,0.951705320961541,0.14243978901678103,0.014243978901678105,0.6831407408583556,0.46668127182050245,0.7,0.23562417494680196,0.4060187215635989,0.10502855585517933,0.26768465700678423,0.21875966734753716,0.6565420958043118,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,410M,primary-qualified,12,0,0.9158294208522245,0.10490766973318018,0.010490766973318019,0.7973842977436139,0.6358217182880768,0.8671328671328673,0.00011047923803103942,0.806155139186339,0.08125979363411318,0.15748089692026895,0.45993607859934693,0.842033147634205,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,410M,H100-matched-sentinels,6,0,0.9251908970324767,0.107818651666828,0.010781865166682801,0.8820625705368795,0.7780343783421273,0.8857142857142858,0.00011047923803103942,0.806155139186339,0.0910120147060848,0.1498474903271709,0.6525151225260177,0.9039167284010251,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,410M,A4-OL1-qualified,5,0,0.855767508163972,0.22501579919504325,0.022501579919504328,0.9801902072605463,0.9607728424094731,0.9999999999999999,0.3833867333385676,0.715914446480748,0.011850925001673587,0.234786106945479,0.8853690900670509,0.991283322082901,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,410M,A7-OL1-qualified,5,0,0.8771899495134624,0.17216317024683594,0.017216317024683594,0.9864847092534476,0.9731520815908591,0.7,0.4112146787868456,0.806155139186339,0.0339509317766518,0.178430819429284,0.26058833151393923,0.9958743425741606,descriptive unweighted OLS with intercept; one checkpoint median per row
h100nvl-002,NVIDIA H100 NVL,14M,primary-qualified,6,0,0.946420960794009,0.6493982000335377,0.06493982000335377,0.5662413852252371,0.32062930634179565,0.4285714285714286,1.1415112639303073e-08,0.27482684296304843,0.1536767291487995,2.0372109840294477,0.1811474380802124,0.6710499391582684,descriptive unweighted OLS with intercept; one checkpoint median per row
h100nvl-002,NVIDIA H100 NVL,70M,primary-qualified,6,0,0.9501452471580006,0.10008087515250517,0.010008087515250518,0.22599943842165998,0.05107574616690558,0.4285714285714286,4.5409213981255505e-06,0.4060187215635989,0.004269518830174997,0.3256685008899829,0.00010581894816152904,0.3717764259506743,descriptive unweighted OLS with intercept; one checkpoint median per row
h100nvl-002,NVIDIA H100 NVL,410M,primary-qualified,6,0,0.8798300284932193,0.07470725677012917,0.007470725677012917,0.8365872006559862,0.6998781443014184,0.8285714285714287,0.00011047923803103942,0.806155139186339,0.05825604540949913,0.08694951509685163,0.466259280785684,0.8093453778112242,descriptive unweighted OLS with intercept; one checkpoint median per row
