comparison_group,model_size,condition_id,family,kappa,R_model_fraction,R_model_percent,baseline_implementation,optimized_implementation,baseline_speedup,optimized_speedup,speedup_delta,speedup_ratio_optimized_over_baseline,speedup_ratio_input_cluster_ci95_low,speedup_ratio_input_cluster_ci95_high,baseline_correctness_pass,optimized_correctness_pass,both_correct,evidence_scope,mechanism,baseline_source,optimized_source
14M exploratory P0-to-K001,14M,14m/a0,A0,,1.1415112639303073e-08,1.1415112639303072e-06,p0,k001,0.9757424945970292,1.0299482612970314,0.05420576670000221,1.0555533524471419,1.0094028929820011,1.107111695495642,True,True,True,16 development blocks; three passes; development gates only,replace minimal Sakana-derived P0 packing with fused signed-exact warp compaction,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-14m-a0-all-rtxpro4500-001,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k001-14m-a0-all-rtxpro4500-001
14M exploratory P0-to-K001,14M,14m/a1h,A1-H,,0.027141299328466276,2.7141299328466277,p0,k001,0.9681003323487264,1.0053703306054318,0.037269998256705406,1.0384980740232617,0.9990763174148035,1.0862332033735278,True,True,True,16 development blocks; three passes; development gates only,replace minimal Sakana-derived P0 packing with fused signed-exact warp compaction,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-14m-a1h-h-rtxpro4500-001,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k001-14m-a1h-h-rtxpro4500-001
14M exploratory P0-to-K001,14M,14m/a4-0p5,A4-OL1,0.5,0.12713448684742273,12.713448684742273,p0,k001,1.0905625576676552,1.1653114461980396,0.07474888853038442,1.0685415870963395,1.0421916935609936,1.0986461858830152,True,True,True,16 development blocks; three passes; development gates only,replace minimal Sakana-derived P0 packing with fused signed-exact warp compaction,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-14m-a4-0p5-active-rtxpro4500-001,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k001-14m-a4-0p5-active-rtxpro4500-001
14M exploratory P0-to-K001,14M,14m/a7-0p5,A7-OL1,0.5,0.27482684296304843,27.482684296304843,p0,k001,1.0948581636897556,1.1513699387564664,0.05651177506671079,1.051615612817154,1.0103826806788592,1.0939989123216785,True,True,True,16 development blocks; three passes; development gates only,replace minimal Sakana-derived P0 packing with fused signed-exact warp compaction,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-14m-a7-0p5-active-rtxpro4500-001,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k001-14m-a7-0p5-active-rtxpro4500-001
14M final-policy repair K012-to-K013,14M,14m/a0,A0,,1.1415112639303073e-08,1.1415112639303072e-06,k012,k013,1.0364490268522693,0.9790565977256588,-0.05739242912661047,0.9446259028281273,0.9123992471251372,0.976833989653248,False,True,False,same 16 timing blocks and complete 338-block validation,replace the faster but partially invalid predecessor with frozen suffix-three policy,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a0-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a0-development-rtxpro4500-002
14M final-policy repair K012-to-K013,14M,14m/a1h,A1-H,,0.027141299328466276,2.7141299328466277,k012,k013,0.9906907097911958,0.9919986943263703,0.0013079845351745556,1.001320275361672,0.9947101470942409,1.007190061720453,True,True,True,same 16 timing blocks and complete 338-block validation,replace the faster but partially invalid predecessor with frozen suffix-three policy,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a1h-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a1h-development-rtxpro4500-002
14M final-policy repair K012-to-K013,14M,14m/a4-0,A4-OL1,0.0,0.0781004229286857,7.81004229286857,k012,k013,1.109605417959614,1.0583089773154921,-0.051296440644121866,0.9537705567998688,0.938794285609362,0.9662723624077894,False,True,False,same 16 timing blocks and complete 338-block validation,replace the faster but partially invalid predecessor with frozen suffix-three policy,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a4-0-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0-development-rtxpro4500-002
14M final-policy repair K012-to-K013,14M,14m/a4-0p5,A4-OL1,0.5,0.12713448684742273,12.713448684742273,k012,k013,1.108287513790313,1.0486294840540957,-0.059658029736217255,0.9461709809107309,0.9362420057208617,0.9531823569966207,True,True,True,same 16 timing blocks and complete 338-block validation,replace the faster but partially invalid predecessor with frozen suffix-three policy,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a4-0p5-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0p5-development-rtxpro4500-002
14M final-policy repair K012-to-K013,14M,14m/a7-0,A7-OL1,0.0,0.0705422917861371,7.054229178613711,k012,k013,1.105717570652246,1.0518625704116624,-0.05385500024058354,0.9512940721301776,0.9303312093714098,0.9720219484809143,False,True,False,same 16 timing blocks and complete 338-block validation,replace the faster but partially invalid predecessor with frozen suffix-three policy,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a7-0-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0-development-rtxpro4500-002
14M final-policy repair K012-to-K013,14M,14m/a7-0p5,A7-OL1,0.5,0.27482684296304843,27.482684296304843,k012,k013,1.0955212086557113,1.0436289876369393,-0.051892221018772,0.9526323903099533,0.9425869903951765,0.9606520719610626,True,True,True,same 16 timing blocks and complete 338-block validation,replace the faster but partially invalid predecessor with frozen suffix-three policy,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a7-0p5-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0p5-development-rtxpro4500-002
