model_size,candidate_index,candidate_id,policy_label,status,a4_high_speedup,a7_high_speedup,endpoint_geomean_speedup,a4_samples,a7_samples,quality_scope,source_a4,source_a7,note
14M,0,P0,Sakana-derived P0,baseline,1.090562557667655,1.094858163689756,1.092708249843851,48,48,16-input fixed development gate,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-14m-a4-0p5-active-rtxpro4500-001,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-14m-a7-0p5-active-rtxpro4500-001,Initial exact signed Pythia adaptation.
14M,1,K001,fused register compaction,qualified,1.142424201922552,1.133971123032677,1.138189815116014,160,160,16-input fixed development gate,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/confirm-14m-a4-0p5-k001-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/confirm-14m-a7-0p5-k001-rtxpro4500-002,High-resolution K001 confirmation.
14M,6,K006,shape portfolio,qualified_not_selected,1.136333917035603,1.107478294532838,1.121813330487033,80,80,16-input fixed development gate,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/portfolio-14m-a4-0p5-active-rtxpro4500-001,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/portfolio-14m-a7-0p5-active-rtxpro4500-001,K006 was correct but slower than K001 on both endpoints.
14M,12,K012,suffix-5 layer policy,rejected_full_matrix,1.108287513790313,1.095521208655711,1.101885872786105,80,80,both endpoints pass complete 338-block validation; policy rejected on 3/6 development conditions,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a4-0p5-k012-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-14m-a7-0p5-k012-rtxpro4500-002,"Both plotted endpoints passed, but A0, A4 kappa=0, and A7 kappa=0 failed complete validation."
14M,13,K013,suffix-3 robust policy,frozen_final,1.048629484054096,1.043628987636939,1.046126248045437,80,80,complete 338-block validation,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a4-0p5-development-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0p5-development-rtxpro4500-002,Frozen architecture policy after complete-validation repair.
70M,0,P0,Sakana-derived P0,gate_failure,,,,,,no comparable two-endpoint score,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-70m-a7-0p5-active-rtxpro4500-002,,A7 high endpoint failed the fixed correctness gate before timing.
70M,1,K001,fused register compaction,gate_failure,,,,,,no comparable two-endpoint score,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/confirm-70m-a7-0p5-k001-rtxpro4500-002,,A7 high endpoint failed the fixed correctness gate before timing.
70M,3,K003,compensated accumulation,gate_failure,,,,,,no comparable two-endpoint score,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/confirm-70m-a7-0p5-k003-rtxpro4500-002,,A7 high endpoint failed the fixed correctness gate before timing.
70M,4,K004,exact tile skip,qualified,0.9620286369531224,0.9274745465284239,0.9445936024584619,48,48,16-input fixed development gate,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004-70m-a4-0p5-active-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004-70m-a7-0p5-active-rtxpro4500-002,First 70M candidate with two correctness-qualified endpoint timings.
70M,6,K006,shape portfolio,gate_failure,,,,,,no comparable two-endpoint score,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/portfolio-70m-a7-0p5-active-rtxpro4500-002,,A7 high endpoint failed the fixed correctness gate before timing.
70M,7,K007,tile-geometry search,single_endpoint_search,,,,,,no comparable two-endpoint score,,,"K007 was intentionally evaluated on A4 high only, so no common two-endpoint score exists."
70M,8,K008,layer-mask search,single_endpoint_search,,,,,,no comparable two-endpoint score,,,"K008 was intentionally evaluated on A7 high only, so no common two-endpoint score exists."
70M,9,K009,suffix-2 layer policy,qualified,1.00172130859513,0.9693325756033793,0.9853938786583284,80,80,complete 338-block validation,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a4-0p5-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a7-0p5-k009-rtxpro4500-002,Frozen K009 policy; both high endpoints passed complete validation.
70M,14,K014,topology-mask winners,selected_stage,1.034215398781674,0.9325794867890258,0.982083533018002,48,48,complete 338-block validation,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k014full-70m-a4-0p5-suffix3-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k014full-70m-a7-0p5-suffix2-rtxpro4500-002,K014's separately selected A4 and A7 topology winners.
70M,15,K015,A7 h/z isolation update,selected_stage,1.034215398781674,1.006472843862663,1.020249829001872,48,48,complete 338-block validation,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k014full-70m-a4-0p5-suffix3-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k015full-70m-a7-0p5-suffix3-hz-rtxpro4500-002,Incumbent after K015: retain K014 A4 and replace A7 with K015 suffix3-hz.
70M,16,K016,topology-dispatched final,frozen_final,1.051361503493851,0.9921826557074922,1.021343550743407,80,80,complete 338-block validation,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p5-development-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0p5-development-rtxpro4500-002,Frozen final policy rerun at 80 samples per endpoint.
410M,0,P0,Sakana-derived P0,gate_failure,,,,,,no comparable two-endpoint score,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-410m-a4-0p5-active-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/p0-410m-a7-0p5-active-rtxpro4500-002,Both high endpoints failed the fixed correctness gate before timing.
410M,1,K001,fused register compaction,gate_failure,,,,,,no comparable two-endpoint score,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k001-410m-a4-0p5-active-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k001-410m-a7-0p5-active-rtxpro4500-002,Both high endpoints failed the fixed correctness gate before timing.
410M,4,K004,exact tile skip,qualified,0.5828472240290588,0.5883321890837234,0.5855832846097876,48,48,16-input fixed development gate,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004-410m-a4-0p5-active-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004-410m-a7-0p5-active-rtxpro4500-002,First 410M candidate with two correctness-qualified endpoint timings.
410M,10,K010,flagged-z layer policy,frozen_final,1.017564478385084,1.011776568052481,1.014666396266563,80,80,complete 338-block validation,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-410m-a4-0p5-k010-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-410m-a7-0p5-k010-rtxpro4500-002,Frozen final policy after site/layer isolation.
