id,checkpoint_id,checkpoint_sha256,scale,family,trained_dose,clipping_p,kind,precision,source,loss,delta_loss_vs_A0,S_model,S_block,zero_products,model_products,block_products,R_arch_actual,R_arch_A7,inference_sites,delta_loss_from_p0,delta_S_from_p0
14M:A0:None,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,,trained,FP16,runs/004-2026-08-29-pythia14m-full-pass-l1n/artifacts/attempts/001-20260829-221007-bb5288c8,5.2085730123096665,0.0,1.1415112639303073e-08,3.811087396926596e-08,72635,6363055915008,1905886494720,0.0,0.2995237697384911,,,
14M:A1-H:None,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,,trained,FP16,runs/004-2026-08-29-pythia14m-full-pass-l1n/artifacts/attempts/002-20260829-231305-195b22c6,5.26963426093378,0.06106124862411377,0.027141299328466276,0.09061484286259773,172701605233,6363055915008,1905886494720,0.04277717436711505,0.2995237697384911,h,,
14M:A4-OL1:0.0,14M:A4-OL1:0.0,98bf5862ec5890efe1365fcf9962cdfcd03067407472b832696b5b07079c0edd,14M,A4-OL1,0.0,,trained,FP16,runs/015-2026-08-31-pythia14m-corrected-a4-ol1/artifacts/attempts/001-20260831-185531-47e3fd85,5.458276166718387,0.2497031544087207,0.0781004229286857,0.260748664444474,496957358081,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",,
14M:A4-OL1:0.01,14M:A4-OL1:0.01,e385f7e1f49ac31d0220c8f293808ca1ba08ce59ddd7492b57d1182e4f032229,14M,A4-OL1,0.01,,trained,FP16,runs/015-2026-08-31-pythia14m-corrected-a4-ol1/artifacts/attempts/002-20260831-185533-e3b22eae,5.458309076241488,0.24973606393182113,0.08586708994090508,0.28667871673715284,546377094553,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",,
14M:A4-OL1:0.05,14M:A4-OL1:0.05,a6f076630dc59a9aac93fe3f92e7850b4bd8e3ea4b4ea5917b79f7b2b7a82b09,14M,A4-OL1,0.05,,trained,FP16,runs/015-2026-08-31-pythia14m-corrected-a4-ol1/artifacts/attempts/003-20260831-185532-bdfeb27f,5.489760381230236,0.2811873689205697,0.1045644512413755,0.34910234781255883,665349449971,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",,
14M:A4-OL1:0.1,14M:A4-OL1:0.1,a33ad55f6372db866368d0dc25f61d751646486f4b3f3347daa8f8b2cdc5abdb,14M,A4-OL1,0.1,,trained,FP16,runs/015-2026-08-31-pythia14m-corrected-a4-ol1/artifacts/attempts/004-20260831-185953-85233728,5.548253721739414,0.3396807094297474,0.11394280537892908,0.3804132322400006,725024441739,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",,
14M:A4-OL1:0.5,14M:A4-OL1:0.5,81427a14cb4e70b3467600fca052e680ee9dc2991135886b2ed3e0b8b84790ff,14M,A4-OL1,0.5,,trained,FP16,runs/015-2026-08-31-pythia14m-corrected-a4-ol1/artifacts/attempts/005-20260831-185726-17913c68,6.037982463131289,0.8294094508216228,0.12713448684742273,0.42445541787358515,808963848536,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",,
14M:A7-OL1:0.0,14M:A7-OL1:0.0,597e0275a7930f4e87129f0b74b85799743faa55a19600ba3fddc0b3ef95ede4,14M,A7-OL1,0.0,,trained,FP16,runs/014-2026-08-31-pythia14m-full-pass-a7-ol1/artifacts/attempts/001-20260831-122537-35dd4889,5.480180751642532,0.2716077393328655,0.0705422917861371,0.23551483692838912,448864547008,6363055915008,1905886494720,0.2995237697384911,0.2995237697384911,"a,m,h,q_post,k_post,v,z",,
14M:A7-OL1:0.01,14M:A7-OL1:0.01,cc8e860ad0a25fb72c5b8fbf090d3f2bba6811ef26bf44b42866148bbfc011d2,14M,A7-OL1,0.01,,trained,FP16,runs/014-2026-08-31-pythia14m-full-pass-a7-ol1/artifacts/attempts/002-20260831-120213-d99dacb3,5.475800738532162,0.2672277262224956,0.07723392871636932,0.25785575810494404,491443806958,6363055915008,1905886494720,0.2995237697384911,0.2995237697384911,"a,m,h,q_post,k_post,v,z",,
14M:A7-OL1:0.05,14M:A7-OL1:0.05,451110e9c90a5342ab0b3d1a96cd1651510b4789f64ef88fc7b750bb9bd217ff,14M,A7-OL1,0.05,,trained,FP16,runs/014-2026-08-31-pythia14m-full-pass-a7-ol1/artifacts/attempts/003-20260831-120427-8f1cb9f2,5.462799572380336,0.2542265600706699,0.09863031588136074,0.3292904465227355,627590214868,6363055915008,1905886494720,0.2995237697384911,0.2995237697384911,"a,m,h,q_post,k_post,v,z",,
