ninja: no work to do.
{'zero_fraction_target': 0.0, 'gate_h': False, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.0, 'gate_h': True, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.0, 'gate_h': True, 'gate_z': True, 'threshold': 0.5, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.5, 'gate_h': False, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.5, 'gate_h': True, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.5, 'gate_h': True, 'gate_z': True, 'threshold': 0.5, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.99, 'gate_h': False, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.99, 'gate_h': True, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 0.99, 'gate_h': True, 'gate_z': True, 'threshold': 0.5, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 1.0, 'gate_h': False, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 1.0, 'gate_h': True, 'gate_z': False, 'threshold': 0.0, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
{'zero_fraction_target': 1.0, 'gate_h': True, 'gate_z': True, 'threshold': 0.5, 'bitwise_native': True, 'bitwise_skip_toggle': True, 'different_elements': 0, 'max_abs': 0.0, 'relative_l2': 0.0}
