source_checkpoint_id,scale,family,training_parameter,clipping_target_p,loss,delta_loss_from_p0,R_model,U_arch,nondominated_within_checkpoint
14M:A0:None,14M,A0,,0.0,5.208594059803077,0.0,1.2144636324463738e-08,9.463486469238704e-08,True
14M:A0:None,14M,A0,,0.1,5.214452560131367,0.0058585003282898285,0.012787059225755319,0.0996408280423603,True
14M:A0:None,14M,A0,,0.2,5.250270307416747,0.04167624761366984,0.025547861885604005,0.19907705658124633,True
14M:A0:None,14M,A0,,0.3,5.361901215547641,0.15330715574456377,0.03831640852502134,0.29857362866925813,True
14M:A0:None,14M,A0,,0.4,5.605384225676046,0.3967901658729689,0.05125544468338841,0.39939870925486715,True
14M:A0:None,14M,A0,,0.5,6.077730602766636,0.8691365429635587,0.06441923193637135,0.5019751217750187,True
14M:A0:None,14M,A0,,0.6,6.821172901864588,1.6125788420615113,0.07764415459051939,0.6050279207642751,True
14M:A0:None,14M,A0,,0.7,7.766948343028684,2.558354283225607,0.09123470793282666,0.7109298302395849,True
14M:A0:None,14M,A0,,0.8,8.336117610423523,3.127523550620446,0.10585958231881311,0.8248914978996577,True
14M:A0:None,14M,A0,,0.9,8.825610324475893,3.6170162646728157,0.119418809381631,0.9305493030525662,True
14M:A1-H:None,14M,A1-H,,0.0,5.269633448335546,0.0,0.02714133462785748,0.21149390244845456,True
14M:A1-H:None,14M,A1-H,,0.1,5.2740728580034695,0.004439409667923222,0.035684028579955444,0.2780612878082596,True
14M:A1-H:None,14M,A1-H,,0.2,5.307940479566359,0.03830703123081314,0.04418365092044717,0.34429304548621886,True
14M:A1-H:None,14M,A1-H,,0.3,5.405055693620761,0.13542224528521452,0.05271870665002293,0.41080091138940394,True
14M:A1-H:None,14M,A1-H,,0.4,5.602964821651843,0.33333137331629636,0.061293247394087945,0.4776164570702075,True
14M:A1-H:None,14M,A1-H,,0.5,5.976274115799447,0.7066406674639003,0.0699445131206961,0.5450298681911535,True
14M:A1-H:None,14M,A1-H,,0.6,6.5214737124696995,1.2518402641341533,0.07892903987664684,0.6150401551325431,True
14M:A1-H:None,14M,A1-H,,0.7,7.30617527707794,2.0365418287423935,0.09051786975696816,0.7053439994278333,True
14M:A1-H:None,14M,A1-H,,0.8,8.107618275478746,2.8379848271431998,0.10558519250701183,0.8227533653101723,True
14M:A1-H:None,14M,A1-H,,0.9,8.869450109244804,3.5998166609092577,0.11878925318261166,0.9256436011345567,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.0,5.206157124254125,0.0,0.031415930939489266,0.24480291498355927,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.1,5.211364143698878,0.005207019444752881,0.03991446463686791,0.3110261896085105,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.2,5.248624203473153,0.04246707921902804,0.04836146658623432,0.3768479124808845,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.3,5.3509508293761305,0.14479370512200518,0.056843044136214424,0.44293905941819695,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.4,5.568858038744278,0.3627009144901523,0.06538932614101929,0.5095344040246484,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.5,5.973093319221361,0.7669361949672355,0.07395677961434484,0.576294723440165,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.6,6.600953204391976,1.3947960801378505,0.08274846053640847,0.6448022943751778,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.7,7.435047468490149,2.2288903442360235,0.09205013549582546,0.7172839008786035,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.8,8.427544129670725,3.2213870054165996,0.10286104013454628,0.8015259045380108,True
14M:A1-H-L1:0.05,14M,A1-H-L1,0.05,0.9,9.082812193582749,3.8766550693286232,0.11711245209607168,0.9125774343345586,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.0,5.1654663311659235,0.0,0.03336302973124716,0.2599753273784488,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.1,5.170191273886776,0.004724942720852887,0.04186238274124377,0.3262049863476216,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.2,5.207755923271179,0.042289592105255736,0.05033391918301213,0.3922178897796043,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.3,5.315054972496259,0.14958864133033511,0.05880440255042605,0.4582225873216468,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.4,5.550581270421045,0.3851149392551214,0.06727546414566778,0.5242317905986313,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.5,5.979635215369908,0.8141688842039843,0.07580657419987383,0.5907089105457617,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.6,6.633155145588711,1.4676888144227878,0.08450806820960081,0.6585137164067137,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.7,7.553385235148774,2.3879189039828503,0.09361026431106745,0.7294409202728948,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.8,8.650509752465423,3.4850434212994994,0.10283421931460071,0.8013169081877969,True
14M:A1-H-L1:0.1,14M,A1-H-L1,0.1,0.9,9.159794549264852,3.9943282180989286,0.11586003495555848,0.9028182020723174,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.0,5.112683072950713,0.0,0.03787576357824556,0.29513998324740964,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.1,5.1176277991582655,0.004944726207552819,0.04636960331105766,0.3613266810091466,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.2,5.155894678372603,0.04321160542189073,0.05478188317500613,0.4268778383604482,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.3,5.271483671030349,0.15880059807963676,0.06317201299738927,0.49225639555061995,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.4,5.510881394324218,0.3981983213735054,0.07161993975051012,0.5580853247876665,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.5,5.986626232164146,0.8739431592134332,0.07998942188524837,0.6233029886357668,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.6,6.687065491309533,1.5743824183588204,0.08843648346618253,0.6891251761762622,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.7,7.495898284855679,2.3832152119049663,0.09675528883769458,0.753947950584874,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.8,8.327347443653988,3.214664370703275,0.10544146090584157,0.8216333630091263,True
14M:A1-H-L1:0.5,14M,A1-H-L1,0.5,0.9,9.188821737582867,4.076138664632154,0.11179762437339914,0.8711626081544365,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.0,5.102269878754249,0.0,0.0394932963987138,0.3077443128881546,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.1,5.106969870053804,0.0046999912995557835,0.04798233512876747,0.3738935997110794,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.2,5.144073622819235,0.041803744064986326,0.05644119930094131,0.43980775679229595,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.3,5.245573495266705,0.1433036165124566,0.06490231203169944,0.5057394353563871,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.4,5.470511305261645,0.3682414265073968,0.07346197154334017,0.572439021746249,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.5,5.898910941456902,0.796641062702653,0.08179540746285359,0.6373758020331346,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.6,6.587026122053699,1.4847562432994508,0.09008673318113995,0.701984446253297,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.7,7.460709069607526,2.358439190853277,0.09814948383495618,0.7648119609509054,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.8,8.253852100767327,3.1515822220130785,0.10637915890735167,0.8289402037513621,True
14M:A1-H-L1:1.0,14M,A1-H-L1,1.0,0.9,8.99005101136202,3.8877811326077714,0.11297369912568121,0.8803269562729679,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.0,5.19806938340678,0.0,0.031452283899779054,0.24508618879977573,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.1,5.203817973475484,0.005748590068703763,0.039941203929477094,0.3112345506718173,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.2,5.243323084870739,0.045253701463958684,0.04840796490935955,0.3772102421875811,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.3,5.351474738685337,0.15340535527855703,0.056874071123504344,0.44318083156069243,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.4,5.568223094093729,0.3701537106869486,0.06538742485692535,0.5095195886149346,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.5,5.967553621213112,0.7694842378063314,0.07381562302669306,0.5751947864625582,True
14M:A1-H-OL1:0.05,14M,A1-H-OL1,0.05,0.6,6.5781531989927124,1.380083815585932,0.08263336764727125,0.6439054540170506,True
